Brands,Buyer,Buyer PO,Color,Commercial Inv. No.,Customer Group,Customer Style,Delivery Date,Division,Gender,Invoice No,Item,Order Type,Plant,Season,Ship Date,Style,Currency,Rate,Exchange Rate,USD Rate,Quantity,Net Value,Ship Quantity,INR Value,USD Value,Delivery_Delay_Days,On_Time_Flag,In_Full_Flag,OTIF_Flag,Delayed,Days_Left,Order_Value,Order_Age,PR_Created_Date,PR_Delay_Days,PR_Approved_Date,Plant_Load_%,Not_Shipped_Flag
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,731026 B,WHITE,4000019680,TOMMY BAHAMA,266-SS500915,09-11-2025,WOVEN,WOMEN,RGHR25105764,DRESS,BULK,MANESAR-181 (WOVEN),SP26,09-11-2025,TB11100039,USD,19.46,87.75,87.75,2068,40243.28,2119,3531347.82,40243.28,0,1,1,1,0,-103,40243.28,63,19-10-2025,16,04-11-2025,69.7029703,1
BEACHWEAR T-52,MARKS AND SPENCER PLC,2012941519,BRIGHT ORANGE,Not Generated,MARK & SPENCER,9828-TAL(REP),15-03-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-166 (WOVEN),SU26,15-03-2026,MS11100722,USD,8.85,89.55,89.1,111,982.35,0,87969.44,987.31,0,1,0,0,0,23,987.31,39,19-02-2026,3,22-02-2026,82.97029703,0
GIRLS,HANNA ANDERSON,33323,HPR-31573,4000017219,HANNA ANDERSSON,83549,13-08-2025,WOVEN,GIRLS,RGHR25103893,SLEEPWEAR,BULK,MANESAR-11 (WOVEN),HO25,13-08-2025,HA11100084,USD,10.55,86.9,86.9,327,3449.85,333,299791.97,3449.85,0,1,1,1,0,-191,3449.85,64,01-07-2025,8,09-07-2025,85.34653465,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1115286,DARK GREEN,4000020295,SUPER DRY,M2014482A BUY3,26-11-2025,KNITS,MEN,RGHR25106294,SWEATSHIR,BULK,MANESAR-407 (KNITS),SS26,26-11-2025,SU10100273,GBP,11.05,114.54,87.8,400,4420,407,506266.8,5766.14,0,0,1,0,0,-86,5766.14,52,28-10-2025,9,06-11-2025,67.32673267,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1111696,WHT SND/ENMELGRN,4000017550,SUPER DRY,M6010915A BUY5,25-08-2025,KNITS,MEN,RGHR25104167,TOP,BULK,MANESAR-407 (KNITS),AW25,25-08-2025,SU10100094,GBP,5.2,115.09,86.2,235,1222,235,140639.98,1631.55,0,0,1,0,0,-179,1631.55,29,25-07-2025,5,30-07-2025,69.9009901,1
CALVIN KLEIN,PVH CORP.,4300167758,DUSTY SAILOR BLUE,Not Generated,PVH CORP,47G025G,05-02-2026,WOVEN,WOMEN,Not Generated,ROMPER,BULK,MANESAR-166 (WOVEN),SU26,05-02-2026,PC11100097,USD,13.27,87.75,89.1,113,1499.51,0,131582,1476.79,0,1,0,0,0,-15,1476.79,40,01-01-2026,7,08-01-2026,119.009901,0
LANDS END,LANDS END EUROPE LIMITED,218125,5G7 LIGHT SEA BLUE,4000019568,LANDS END,554507-REG (REP),17-11-2025,WOVEN,MENS,RGHR25105701,SHIRT,BULK,GURUGRAM-227 (WOVEN),SS26,17-11-2025,LE11100108,USD,7.7,87.75,87.75,213,1640.1,213,143918.78,1640.1,0,1,1,1,0,-95,1640.1,20,18-10-2025,3,21-10-2025,89.30693069,1
OCEAN COAST,BELK,2687567,HUNT GREEN,4000016411,BELK INTL.,36526FA0000332,18-07-2025,KNITS,MEN,RGHR25103341,T-SHIRT,BULK,GURUGRAM-871 (KNITS),F26,18-07-2025,BI10100096,USD,6.15,85.09,85.1,3036,18671.4,3036,1588749.43,18669.21,0,1,1,1,0,-217,18669.21,31,24-06-2025,17,11-07-2025,90.69306931,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1116206,BURNT RED,Not Generated,SUPER DRY,M1110451A BUY-4,23-02-2026,KNITS,MEN,Not Generated,POLO,BULK,MANESAR-407 (KNITS),SS26,23-02-2026,SU10100289,GBP,5.5,116.4,89.1,299,1644.5,0,191419.8,2148.37,0,1,0,0,0,3,2148.37,54,11-01-2026,6,17-01-2026,69.30693069,0
PERUNA T-53,MARKS AND SPENCER PLC,2031104529,PUTTY,4000015847,MARK & SPENCER,1711U,01-07-2025,KNITS,WOMEN,RGHR25103064,TEE,BULK,GURUGRAM-232 (KNITS),AU25,01-07-2025,MS10100034,USD,8.1,85.95,85.95,65,526.5,65,45252.68,526.5,0,0,1,0,0,-234,526.5,32,21-05-2025,8,29-05-2025,77.02970297,1
SLEEPWEAR T-37,MARKS AND SPENCER PLC,2031147985,BLUE,4000022320,MARK & SPENCER,3734T-SHIRT,04-01-2026,WOVEN,WOVEN,RGKA25100351,SHIRT,BULK,BANGALORE - JIGANI (WOVEN),SS26,04-01-2026,MS11100384,USD,6,89.09,89.1,1859,11154,1859,993709.86,11152.75,0,0,1,0,0,-47,11152.75,13,23-11-2025,9,02-12-2025,84.15841584,1
TCP,THE CHILDREN'S PLACE,829367,VANILLA WAFER,4000021034,CHILDRENS PLACE,S062476,14-12-2025,WOVEN,GIRLS,RGKA25100277,SKIRTS,BULK,BANGALORE - JIGANI (WOVEN),SP26,14-12-2025,TC11100054,USD,4.25,89.59,89.6,770,3272.5,770,293183.28,3272.13,0,0,1,0,0,-68,3272.13,11,20-11-2025,8,28-11-2025,74.65346535,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1112604,LIGHT KHAKI GREEN,4000017604,SUPER DRY,M2014044B,28-08-2025,KNITS,MEN,RGHR25104252,SWEATSHIR,BULK,MANESAR-407 (KNITS),AW25,28-08-2025,SU10100236,GBP,7.5,115.09,86.2,135,1012.5,135,116528.63,1351.84,0,0,1,0,0,-176,1351.84,62,15-07-2025,4,19-07-2025,61.98019802,1
LILLY PULITZER,SUGARTOWN WORLDWIDE LLC.,64746,PINK BLOSSOM FOXY,4000021311,LILLY PULITZER,10343,08-12-2025,KNITS,WOMEN,RGUP25102275,DRESS,BULK,NOIDA - D-53-54 (KNITS),SP26,08-12-2025,LP10100064,USD,10.4,89.59,89.6,1576,16390.4,1576,1468415.94,16388.57,0,0,1,0,0,-74,16388.57,59,16-11-2025,4,20-11-2025,86.93069307,1
ATS,PREMIUM BRANDS OPCO LLC,5006832,4534 PRISTINE BLUE,4000018513,PREMIUM BRANDS,858432,17-10-2025,WOVEN,WOMEN,RGHR25104894,TOP,BULK,MANESAR-427 (WOVEN),WI25,17-10-2025,PB11100522,USD,8.73,88,87,500,4365,513,384120,4415.17,0,0,1,0,0,-126,4415.17,32,04-09-2025,9,13-09-2025,79.6039604,1
WOMENS RETAIL,J.CREW OPERATING CORP,1801587,GR0480 VIBRANT,Not Generated,J.CREW,CS967/260328-SP26,15-01-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-215 (WOVEN),SP26,15-01-2026,JC11100449,USD,33.95,89.1,89.1,1252,42505.4,0,3787231.14,42505.4,0,1,0,0,0,-36,42505.4,31,12-12-2025,7,19-12-2025,98.61386139,0
CROWN & IVY,BELK,2690458,GREEN STRIPE.,4000020040,BELK INTL.,72827SPD000133,23-11-2025,WOVEN,WOMEN,RGHR25106019,DRESS,BULK,MANESAR-11 (WOVEN),SP26,23-11-2025,BI11100300,USD,13.08,87.75,87.8,1790,23413.2,1790,2054508.3,23399.87,0,0,1,0,0,-89,23399.87,30,13-10-2025,9,22-10-2025,103.1683168,1
J.JILL,JILL ACQUISITION LLC,3048215,OLIVINE/CREAM,4000021962,J.JILL,KTP291262 SP26,31-12-2025,KNITS,WOMEN,RGHR25107498,TANK,BULK,MANESAR-407 (KNITS),SP26,31-12-2025,JJ10100261,USD,5.82,89.54,89.55,571,3323.22,571,297561.12,3322.85,0,0,1,0,0,-51,3322.85,19,23-11-2025,5,28-11-2025,74.05940594,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502230248,VERDE FRESCO,Not Generated,CHICO'S,262-26C135930,27-01-2026,KNITS,WOMEN,Not Generated,JACKET,BULK,MANESAR-407 (KNITS),SP26,27-01-2026,CH10100070,USD,14.03,88,89.1,1000,14030,0,1234640,13856.79,0,1,0,0,0,-24,13856.79,77,16-12-2025,4,20-12-2025,69.30693069,0
CALVIN KLEIN,PVH CORP.,4300143820,BLACK,4000019630,PVH CORP,476069S,17-11-2025,WOVEN,WOMEN,RGHR25105731,SKIRTS,BULK,MANESAR-166 (WOVEN),SP26,17-11-2025,PC11100044,USD,7.64,87.75,87.75,120,916.8,120,80449.2,916.8,0,1,1,1,0,-95,916.8,53,16-10-2025,3,19-10-2025,89.30693069,1
BABY TODDLER,HANNA ANDERSON,34580,5VU BLUEY AND BING,Not Generated,HANNA ANDERSSON,84334,16-01-2026,KNITS,TODDLER,Not Generated,TOP,BULK,NOIDA - D-53-54 (KNITS),SU26,16-01-2026,HA10100216,USD,4.86,89.55,89.1,674,3275.64,0,293333.56,3292.18,0,0,0,0,0,-35,3292.18,73,17-12-2025,5,22-12-2025,94.05940594,0
CORE,TALBOTS IMPORT LLC.,6488309,GROVE GREEN,Not Generated,TALBOTS,262013238P,06-03-2026,KNITS,WOMEN,Not Generated,TOP,BULK,MANESAR-407 (KNITS),SU26,06-03-2026,TA10100164,USD,5.45,89.55,89.1,952,5188.4,0,464621.22,5214.6,0,0,0,0,0,14,5214.6,30,21-01-2026,7,28-01-2026,140,0
WOMENS RETAIL,J.CREW OPERATING CORP,1804497,WT0002 WHITE,Not Generated,J.CREW,CU944/254398-SU26,26-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,GURUGRAM-227 (WOVEN),SU26,26-02-2026,JC11100716,USD,14.45,89.6,89.1,2143,30966.35,0,2774584.96,31140.12,0,0,0,0,0,6,31140.12,37,30-01-2026,16,15-02-2026,81.58415842,0
J.JILL,JILL ACQUISITION LLC,3047819,WHITE,4000021970,J.JILL,KTP350491,31-12-2025,KNITS,WOMEN,RGHR25107501,TOP,BULK,MANESAR-407 (KNITS),SP26,31-12-2025,JJ10100237,USD,8.16,89.54,89.55,1195,9751.2,1195,873122.45,9750.11,0,1,1,1,0,-51,9750.11,75,17-11-2025,3,20-11-2025,74.05940594,1
ATS,PREMIUM BRANDS OPCO LLC,5015438,BLUSH HAZE 020237,Not Generated,PREMIUM BRANDS,851860,02-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,GURUGRAM-418 (KNITS),SP26,02-01-2026,PB10100467,USD,7.38,87.3,89.1,674,4974.12,0,434240.68,4873.63,0,1,0,0,0,-49,4873.63,87,25-11-2025,8,03-12-2025,78.21782178,0
OLDER GIRLS T-74,MARKS AND SPENCER PLC,2031141221,POWDER BLUE,4000021219,MARK & SPENCER,3623E,07-12-2025,KNITS,GIRLS,RGUP25102252,TEE,BULK,NOIDA - D-53-54 (KNITS),SU26,07-12-2025,MS10100086,USD,3.15,89.59,89.6,735,2315.25,735,207423.25,2314.99,0,0,1,0,0,-75,2314.99,28,02-11-2025,9,11-11-2025,74.05940594,1
QUINCE,LAST BRAND INC. C/O KERRY,27847,BLACK,4000017705,LAST BRAND INC.,W-BLO-62,25-08-2025,WOVEN,WOMEN,RGHR25104239,SHIRT,BULK,MANESAR-11 (WOVEN),SP25,25-08-2025,LI11100015,USD,14.25,86.2,86.2,116,1653,116,142488.6,1653,0,0,1,0,0,-179,1653,12,01-08-2025,8,09-08-2025,69.9009901,1
J.JILL,JILL ACQUISITION LLC,3046868,LT SPEARMINT,4000018302,J.JILL,KTP334342,15-10-2025,KNITS,WOMEN,RGHR25105018,TUNIC,BULK,GURUGRAM-232 (KNITS),WI26,15-10-2025,JJ10100188,USD,9.38,88,88,163,1528.94,163,134546.72,1528.94,0,0,1,0,0,-128,1528.94,78,13-09-2025,7,20-09-2025,86.93069307,1
TODDLER GIRLS T-77,MARKS AND SPENCER RELIANCE,msi,ROYAL BLUE,Not Generated,MARK & SPENCER,1451E,20-01-2026,WOVEN,KIDS,Not Generated,TOP,BULK,NOIDA - D-53-54 (WOVEN),SU26,20-01-2026,MS11100550,INR,340,1,89.1,50,17000,0,17000,190.8,0,0,0,0,0,-31,190.8,87,14-12-2025,7,21-12-2025,81.58415842,0
J.JILL,JILL ACQUISITION LLC,3048405,PALE ROSE,Not Generated,J.JILL,KTP350273,28-01-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-232 (KNITS),SP26,28-01-2026,JJ10100282,USD,5.38,88,89.1,191,1027.58,0,90427.04,1014.89,0,1,0,0,0,-23,1014.89,27,21-12-2025,6,27-12-2025,81.18811881,0
MADEWELL,J.CREW OPERATING CORP.,7108363,PP8229 VINE PRINT,4000021709,J.CREW,NZ485-252466,25-12-2025,WOVEN,WOMEN,RGHR25107301,SKIRTS,BULK,GURUGRAM-227 (WOVEN),SP26,25-12-2025,JC11100506,USD,21.9,89.54,89.55,260,5694,269,509840.76,5693.36,0,1,1,1,0,-57,5693.36,31,16-11-2025,7,23-11-2025,82.97029703,1
ATS,PREMIUM BRANDS OPCO LLC,5004695,9000 WHITE,4000017443,PREMIUM BRANDS,847415P,13-08-2025,WOVEN,WOMEN,RGHR25104118,SHIRT,BULK,GURUGRAM-294 (WOVEN),WI25,13-08-2025,PB11100478,USD,25.17,86.9,86.9,275,6921.75,285,601500.08,6921.75,0,0,1,0,0,-191,6921.75,48,21-07-2025,9,30-07-2025,85.34653465,1
MARINE LAYER,MARINE LAYER,PO0029135,ANTIQUE WHITE,Not Generated,MARINE LAYER,20519,15-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,GURUGRAM-227 (WOVEN),SU26,15-02-2026,ML11100002,USD,22.6,87.8,89.1,550,12430,0,1091354,12248.64,0,0,0,0,0,-5,12248.64,44,09-01-2026,4,13-01-2026,103.5643564,0
CORE,NEWTIMES MACAO COMMERCIAL OFFS,3048418,BLACK,Not Generated,J.JILL,WDR349251 W,28-01-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-215 (WOVEN),SP26,28-01-2026,JJ11100143,USD,16.38,88,89.1,310,5077.8,0,446846.4,5015.11,0,1,0,0,0,-23,5015.11,14,19-12-2025,5,24-12-2025,81.18811881,0
WOMENS RETAIL,J.CREW OPERATING CORP,1796790,BK0001 BLACK,4000015990,J.CREW,CI939/224492,05-07-2025,WOVEN,WOMEN,RGHR25103094,PANTS,BULK,GURUGRAM-215 (WOVEN),FA25,05-07-2025,JC11100179,USD,19.83,84.5,84.5,201,3985.83,210,336802.64,3985.83,0,0,1,0,0,-230,3985.83,52,22-05-2025,5,27-05-2025,67.92079208,1
WONDERLY,BELK,2691364,TROP BORDER,Not Generated,BELK INTL.,13027FAD000046,08-03-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-11 (WOVEN),FA26,08-03-2026,BI11100455,USD,16,87.8,89.1,1136,18176,0,1595852.8,17910.81,0,0,0,0,0,16,17910.81,74,05-02-2026,6,11-02-2026,72.87128713,0
LOFT,PREMIUM BRANDS OPCO LLC,5022485,WHITE 9000,Not Generated,PREMIUM BRANDS,586150 SUM26,20-02-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-871 (KNITS),SU26,20-02-2026,PB10100522,USD,4.22,89.6,89.1,3476,14668.72,0,1314317.31,14751.04,0,0,0,0,0,0,14751.04,30,20-01-2026,22,11-02-2026,72.27722772,0
CALVIN KLEIN,PVH CORP.,4300170977,VANILLA CUSTARD,Not Generated,PVH CORP,47G239G SU26,23-03-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,NOIDA - D-49-50 (KNITS),SU26,23-03-2026,PC10100171,USD,13.5,87.8,89.1,24,324,0,28447.2,319.27,0,1,0,0,0,31,319.27,52,07-02-2026,6,13-02-2026,83.36633663,0
WONDERLY,BELK,2690708,PARCHMENT,4000020171,BELK INTL.,13027SPP000010,23-11-2025,WOVEN,WOMEN,RGHR25106140,PANTS,BULK,MANESAR-427 (WOVEN),SP26,23-11-2025,BI11100346,USD,9.28,87.79,87.8,1854,17205.12,1854,1510437.48,17203.16,0,1,1,1,0,-89,17203.16,76,01-11-2025,4,05-11-2025,103.1683168,1
SUGAR & JADE,THE CHILDREN'S PLACE,827130,MISTY MUAVE,4000018798,CHILDRENS PLACE,S062598,26-10-2025,WOVEN,GIRLS,RGHR25105183,SKORT,BULK,MANESAR-7/4 (WOVEN),SP26,26-10-2025,TC11100068,USD,5.4,87,87,1224,6609.6,1281,575035.2,6609.6,0,1,1,1,0,-117,6609.6,57,06-10-2025,9,15-10-2025,82.37623762,1
LUCKY BRAND,ASTRA CONNECT LLC,TJ MAXX,BLUE PLAIN,Not Generated,LUCKY BRAND DUNGAREE,172936,26-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,NOIDA - A-36 (WOVEN),SU26,26-02-2026,LU11100043,USD,6.25,87.75,89.1,4800,30000,0,2632500,29545.45,0,1,0,0,0,6,29545.45,6,06-02-2026,21,27-02-2026,81.58415842,0
LOFT,PREMIUM BRANDS OPCO LLC,5011134,DEEP SPACE BLUE,4000019218,PREMIUM BRANDS,773835P,31-10-2025,WOVEN,WOMEN,RGHR25105399,DRESS,BULK,MANESAR-7/4 (WOVEN),SP26,31-10-2025,PB11100547,USD,13.95,87,87,1605,22389.75,1635,1947908.25,22389.75,0,0,1,0,0,-112,22389.75,17,06-10-2025,9,15-10-2025,64.35643564,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1117374,ECLIPSE NAVY,Not Generated,SUPER DRY,M1110449A BUY-5,15-01-2026,KNITS,MEN,Not Generated,POLO,BULK,MANESAR-407 (KNITS),SS26,15-01-2026,SU10100345,GBP,6.35,117.9,89.1,360,2286,0,269519.4,3024.91,0,1,0,0,0,-36,3024.91,53,05-12-2025,5,10-12-2025,98.61386139,0
QUINCE,LAST BRAND INC. (QUINCE),23266,RACECARS,4000017197,LAST BRAND INC.,KUK40006TF CHASE HO25,11-08-2025,KNITS,KIDS,RGUP25101401,TOP,BULK,NOIDA - D-53-54 (KNITS),HO25,11-08-2025,LI10100017,USD,3.3,86.9,86.9,430,1419,430,123311.1,1419,0,1,1,1,0,-193,1419,83,30-06-2025,4,04-07-2025,106.1386139,1
CORE,TALBOTS IMPORT LLC.,6488241,TA WHITE,Not Generated,TALBOTS,262036224X,06-03-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-427 (WOVEN),SU26,06-03-2026,TA11100230,USD,20.6,87.75,89.1,76,1565.6,0,137381.4,1541.88,0,0,0,0,0,14,1541.88,57,02-02-2026,9,11-02-2026,140,0
QUINCE,LAST BRAND INC. C/O KERRY,22261,BLUE PIN STRIPE,4000016756,LAST BRAND INC.,W-LGW-09,28-07-2025,WOVEN,WOMEN,RGHR25103759,PAJAMA,BULK,MANESAR-11 (WOVEN),SP25,28-07-2025,LI11100013,USD,10.68,85.09,85.1,566,6044.88,566,514358.84,6044.17,0,0,1,0,0,-207,6044.17,83,20-06-2025,3,23-06-2025,68.11881188,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1117022,SOFT NAVY,4000021357,SUPER DRY,M2014491A BUY 4,15-12-2025,KNITS,MEN,RGHR25107179,SWEATSHIR,BULK,MANESAR-407 (KNITS),SS26,15-12-2025,SU10100305,GBP,8.75,118.84,89.6,31,271.25,31,32235.35,359.77,0,1,1,1,0,-67,359.77,88,10-11-2025,3,13-11-2025,116.8316832,1
FRONTLINE,CHICOS RETAIL SERVICES INC.,4502226077 PPK,ZEN Y/D TEXTURED,4000019925,CHICO'S,064-26C135310,18-11-2025,KNITS,WOMEN,RGHR25105896,TOP,BULK,MANESAR-407 (KNITS),SP26,18-11-2025,CH10100048,USD,9.9,87.75,87.75,1612,15958.8,1612,1400384.7,15958.8,0,1,1,1,0,-94,15958.8,76,06-10-2025,7,13-10-2025,81.38613861,1
CROWN & IVY,BELK,2690742,PINK WHITE STRIPE,4000020353,BELK INTL.,12627SPD000007,23-11-2025,WOVEN,WOMEN,RGUP25102104,SHIRT,BULK,NOIDA - B-14 (WOVEN),SP26,23-11-2025,BI11100361,USD,7.33,87.79,87.8,2928,21462.24,2928,1884170.05,21459.8,0,1,1,1,0,-89,21459.8,7,12-10-2025,20,01-11-2025,103.1683168,1
CALVIN KLEIN,BASECO S.A.P.I DE C.V,4100043791,VANILLA CUSTARD,Not Generated,PVH CORP,4LG813G,16-02-2026,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - B-33-34 (KNITS),SU26,16-02-2026,PC10100141,USD,5.2,87.8,89.1,929,4830.8,0,424144.24,4760.32,0,0,0,0,0,-4,4760.32,68,27-01-2026,5,01-02-2026,101.980198,0
BABIES T-78,MARKS AND SPENCER RELIANCE,MSI India (0340),MULTI,Not Generated,MARK & SPENCER,2752D,22-02-2026,WOVEN,GIRLS,Not Generated,TOP,BULK,NOIDA - D-53-54 (WOVEN),SU26,22-02-2026,MS11100644,INR,3.78,1,89.1,560,2116.8,0,2116.8,23.76,0,0,0,0,0,2,23.76,9,02-02-2026,8,10-02-2026,107.5247525,0
LOFT,PREMIUM BRANDS OPCO LLC,LOFT.,GENTLE PINK 532969,Not Generated,PREMIUM BRANDS,769047,06-03-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-871 (KNITS),SU26,06-03-2026,PB10100521,USD,4.98,89.55,89.1,8051,40093.98,0,3590415.91,40296.47,0,0,0,0,0,14,40296.47,55,13-02-2026,22,07-03-2026,140,0
LOFT,PREMIUM BRANDS OPCO LLC,5005680,HTR EUCALYPTUS,4000018141,PREMIUM BRANDS,772956,26-09-2025,KNITS,WOMEN,RGUP25101582,SWEATSHIR,BULK,NOIDA - D-53-54 (KNITS),WI25,26-09-2025,PB10100259,USD,11.4,87.29,87.15,2933,33436.2,2933,2918645.9,33489.91,0,0,1,0,0,-147,33489.91,78,27-08-2025,21,17-09-2025,64.15841584,1
WOMENS RETAIL,J.CREW RETAIL DC (ASHEVILLE),3561309,YA0939,Not Generated,J.CREW,CU594/259577,05-02-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-232 (KNITS),SU26,05-02-2026,JC10100197,USD,7.44,88,89.1,11454,85217.76,0,7499162.88,84165.69,0,0,0,0,0,-15,84165.69,34,24-12-2025,17,10-01-2026,119.009901,0
LUCKY BRAND,ASTRA CONNECT LLC,NORDSTROM RACK,NAVY DOT,Not Generated,LUCKY BRAND DUNGAREE,164865,09-03-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-166 (WOVEN),SU26,09-03-2026,LU11100040,USD,7,87.75,89.1,2800,19600,0,1719900,19303.03,0,1,0,0,0,17,19303.03,47,05-02-2026,23,28-02-2026,64.55445545,0
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500637956,PALE MEADOW,4000021108,PVH CORP,4RE825G,17-12-2025,KNITS,MEN,RGUP25102207,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,17-12-2025,PC10100125,USD,5.6,89.59,89.6,4759,26650.4,4759,2387609.34,26647.43,0,0,1,0,0,-65,26647.43,41,03-11-2025,21,24-11-2025,65.74257426,1
QUINCE,LAST BRAND INC. (QUINCE),26964,FRUIT,4000018382,LAST BRAND INC.,BUK40011TF-H25,27-09-2025,KNITS,KIDS,RGUP25101651,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),HO25,27-09-2025,LI10100028,USD,6.47,87.15,87.15,36,232.92,36,20298.98,232.92,0,1,1,1,0,-146,232.92,50,18-08-2025,4,22-08-2025,69.10891089,1
LOFT,PREMIUM BRANDS OPCO LLC,5020919,THYME GARDEN 20219,Not Generated,PREMIUM BRANDS,784324,06-02-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-232 (KNITS),SU26,06-02-2026,PB10100518,USD,9.89,89.6,89.1,1249,12352.61,0,1106793.86,12421.93,0,1,0,0,0,-14,12421.93,84,09-01-2026,7,16-01-2026,134.6534653,0
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1117955,COBBLESTONE GREY,Not Generated,SUPER DRY,W2012197A WK27,25-02-2026,KNITS,WOMEN,Not Generated,SWEATSHIR,BULK,MANESAR-407 (KNITS),SS26,25-02-2026,SU10100366,GBP,10.95,116,89.1,1093,11968.35,0,1388328.6,15581.69,0,0,0,0,0,5,15581.69,85,28-01-2026,7,04-02-2026,61.98019802,0
CALVIN KLEIN,PVH CORP.,4300167788,BRIGHT WHITE,Not Generated,PVH CORP,47G284G,19-01-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,NOIDA - B-33-34 (KNITS),SU26,19-01-2026,PC10100139,USD,13,87.75,89.1,99,1287,0,112934.25,1267.5,0,0,0,0,0,-32,1267.5,44,19-12-2025,8,27-12-2025,79.00990099,0
QUINCE,LAST BRAND INC. (QUINCE),35173,MILK,4000021504,LAST BRAND INC.,BUK40010TF-2..,15-12-2025,KNITS,KIDS,RGUP25102311,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),SP26,15-12-2025,LI10100055,USD,8.86,89.54,89.6,126,1116.36,126,99958.87,1115.61,0,1,1,1,0,-67,1115.61,87,23-11-2025,4,27-11-2025,116.8316832,1
WOMENS RETAIL,J.CREW OPERATING CORP,1800832,NA6436 FLAX,4000018730,J.CREW,CI939/224492-HO25,17-11-2025,WOVEN,WOMEN,RGHR25105046,PANTS,BULK,GURUGRAM-227 (WOVEN),HO25,17-11-2025,JC11100347,USD,19.97,88,87.75,277,5531.69,289,486788.72,5547.45,0,1,1,1,0,-95,5547.45,53,25-10-2025,3,28-10-2025,89.30693069,1
BEACHWEAR T-52,MARKS AND SPENCER PLC,2012796085,DARK RED,4000017593,MARK & SPENCER,2506-TAL WI25(REP),31-08-2025,WOVEN,WOMEN,RGHR25104141,DRESS,BULK,MANESAR-166 (WOVEN),WI25,31-08-2025,MS11100227,USD,11.95,86.9,86.2,139,1661.05,139,144345.25,1674.54,0,1,1,1,0,-173,1674.54,19,11-08-2025,9,20-08-2025,65.34653465,1
Unknown,PVH CORP.,4300136964,WHITE GREIGE,4000017305,PVH CORP,47E112G,11-08-2025,WOVEN,WOMEN,RGHR25103909,TOP,BULK,MANESAR-166 (WOVEN),HO25,11-08-2025,PC11100024,USD,20.24,86.9,86.9,52,1052.48,52,91460.51,1052.48,0,0,1,0,0,-193,1052.48,41,17-07-2025,9,26-07-2025,106.1386139,1
WOMENS RETAIL,J.CREW RETAIL DC (ASHEVILLE),3561400,WT0002,Not Generated,J.CREW,CT441/259568,29-01-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-232 (KNITS),SU26,29-01-2026,JC10100193,USD,5.06,88,89.1,5720,28943.2,0,2547001.6,28585.88,0,0,0,0,0,-22,28585.88,31,05-01-2026,16,21-01-2026,75.84158416,0
Unknown,PVH CORP.,4300137161,WHITE GREIGE,4000016959,PVH CORP,47E601G,04-08-2025,WOVEN,WOMEN,RGHR25103690,SKIRTS,BULK,MANESAR-166 (WOVEN),HO25,04-08-2025,PC11100026,USD,15.77,85.09,85.1,60,946.2,60,80512.16,946.09,0,1,1,1,0,-200,946.09,63,07-07-2025,3,10-07-2025,91.08910891,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1115594,8ML,4000021589,SUPER DRY,W7110508A BUY-3,22-12-2025,KNITS,WOMEN,RGHR25107349,SHORTS,BULK,MANESAR-407 (KNITS),SS26,22-12-2025,SU10100243,GBP,4.4,118.84,89.55,106,466.4,106,55426.98,618.95,0,1,1,1,0,-60,618.95,85,15-11-2025,7,22-11-2025,80.99009901,1
